visit_date,sex,age,client_type,service_received,timeliness,client_handling,quality_of_service,overall_satisfaction,comment,label
2026-03-21,Female,38,Pasigueño,Referral assistance,3,3,4,4,Naging convenient yung process para sa akin. Sakto lang yung waiting time at mabilis yung actual transaction. Overall smooth at convenient.,positive
2026-05-11,Female,24,Non-Pasigueño,Wound care/dressing,1,1,1,1,Disappointed ako sa naging transaction. Ang daming idle time sa pagitan ng bawat step. Hindi helpful yung sagot at itinuro lang ako sa ibang counter. Sana mabigyan ito ng action.,negative
2026-05-12,Female,41,Pasigueño,Pharmacy/medicine assistance,3,3,3,3,"Hindi naman bad, pero may pwede pang ayusin. Sa nutrition service mismo, medyo matagal lang bago natawag yung number ko, pero natapos din naman at helpful naman yung nasa counter. May konting inconvenience pero natapos din naman.",neutral
2026-02-20,Female,23,Non-Pasigueño,Health card/clearance,1,2,2,2,"Sa part ng referral assistance, hindi patient mag-explain yung staff. Halos walang movement yung pila for a long time. Sana mas organized at respectful next time.",negative
2026-05-19,Male,27,Non-Pasigueño,Family planning consultation,4,4,4,3,"Yung referral request ko, may initiative silang i-guide ako kung saan susunod. Mabilis nila na-process yung request ko.",positive
2026-05-22,Male,28,Pasigueño,Vital signs screening,3,2,3,3,"Sa part ng animal bite service, okay naman. Nasagot naman yung tanong ko, although hindi pare-pareho yung explanation na narinig ko sa dalawang counter. May room for improvement pero acceptable naman.",neutral
2026-05-04,Female,26,City Government Employee,Medical certificate,3,3,4,3,"Para sa nutrition counseling, okay naman. Okay naman yung customer handling, although medyo masikip lang sa waiting area. Nothing serious, pero noticeable lang.",neutral
2026-02-24,Male,43,City Government Employee,Animal bite treatment,3,4,3,4,Maayos at organized yung naging service. Hindi pabalik-balik kaya mabilis matapos yung transaction. Overall smooth at convenient.,positive
2026-01-20,Male,58,Pasigueño,Health card/clearance,2,4,3,3,"Decent naman yung naging service. Sa clearance request mismo, medyo mabagal lang yung usad nung maraming tao, pero natapos din naman at nasagot naman yung tanong ko. Sana mas mabilis nang kaunti sa susunod.",neutral
2026-04-02,Female,56,Non-Pasigueño,Immunization/Vaccination,4,4,3,4,"Na-appreciate ko yung maayos na assistance. Maaga akong dumating at mabilis din akong natapos. Okay yung attitude ng staff, polite at helpful.",positive
2026-01-30,Male,58,Pasigueño,Nutrition counseling,2,3,2,2,Mas matagal at mas magulo kaysa sa inaasahan ko. Ang daming idle time sa pagitan ng bawat step. Hindi straightforward yung process at maraming unnecessary na tanong.,negative
2026-06-18,Male,41,Pasigueño,Nutrition counseling,4,4,4,4,"Straightforward yung process at walang confusing na instruction. Okay yung attitude ng staff, polite at helpful. Sana ma-maintain yung ganitong sistema.",positive
2026-07-01,Male,43,Pasigueño,Pharmacy/medicine assistance,3,4,3,4,"Regarding sa dental consultation, maayos sumagot yung staff sa mga tanong ko. Nasunod naman agad yung sequence ng pila.",positive
2026-03-08,Female,25,Pasigueño,Health card/clearance,4,4,4,4,"Yung referral process ko, straightforward yung process at walang confusing na instruction. Maayos yung queue kaya hindi nakakainip yung paghihintay. Sana ganito lagi yung serbisyo.",positive
2026-04-10,Female,54,Pasigueño,Nutrition counseling,3,3,3,3,"Yung pagkuha ng certificate ko, okay naman. Helpful naman yung nasa counter, although may ilang minuto na walang gumagalaw sa pila. Hindi naman siya malaking issue para sa akin.",neutral
2026-02-27,Male,29,Pasigueño,TB/DOTS consultation,3,3,2,3,"Sa vaccine process mismo, okay naman. Okay naman yung flow kapag ikaw na yung nasa counter, although pwede pang mas mabilis yung process. Sana lang mas maging consistent next time.",neutral
2026-06-24,Female,26,City Government Employee,Referral assistance,3,3,4,4,"Regarding sa wound dressing, courteous yung staff at malinaw makipag-usap. Maaga akong dumating at mabilis din akong natapos.",positive
2026-05-22,Male,45,Non-Pasigueño,Dental consultation,2,4,3,3,"Yung clearance request ko, maayos naman yung actual service, kaso kulang lang ng mas malinaw na signage. Sana lang mas maging consistent next time.",neutral
2026-01-11,Female,35,Non-Pasigueño,Wound care/dressing,3,3,4,3,Nakuha ko naman yung kailangan ko. Kailangan ko pang magtanong kung saan yung next counter; straightforward naman yung requirements naman kapag ako na yung inaasikaso. Sana lang mas maging consistent next time.,neutral
2026-01-18,Male,38,Non-Pasigueño,Pharmacy/medicine assistance,3,3,4,4,"Yung dental consultation ko, courteous yung staff at malinaw makipag-usap. Sakto lang yung waiting time at mabilis yung actual transaction.",positive
2026-01-11,Female,55,Non-Pasigueño,Medical certificate,4,4,4,4,Mas maayos yung transaction ko kaysa sa inaasahan ko. Konti lang yung waiting time nung pumunta ako. Babalik ako nang hindi nag-aalala kung kailangan ulit.,positive
2026-03-22,Male,21,City Government Employee,Health card/clearance,4,4,4,3,"Nung nag-process ako ng referral request, sakto lang yung waiting time at mabilis yung actual transaction. Kompleto yung information na binigay sa counter. Nakakagaan kapag ganito kaayos yung serbisyo.",positive
2026-03-29,Female,26,Pasigueño,Laboratory request,4,3,3,3,"Okay naman yung naging transaction ko. Yung maternal health service ko, pwede pang mas mabilis yung process, pero natapos din naman at Maayos kausap yung staff. Fair lang yung rating ko.",neutral
2026-04-01,Male,68,Pasigueño,Laboratory request,2,2,2,2,Hindi okay para sa akin yung naging service. Walang malinaw na update kung bakit delayed yung transaction. Sana mas organized at respectful next time.,negative
2026-04-01,Female,48,Pasigueño,Health card/clearance,2,3,2,2,Naramdaman kong naiirita yung kausap ko nung nagtanong ulit ako. Hindi malinaw yung instructions na binigay sa akin sa simula. Needs improvement talaga.,negative
2026-07-03,Female,50,Pasigueño,Medical certificate,3,3,4,3,"Yung DOTS consultation ko, organized naman yung pila, kaso pwede pang mas mabilis yung process. Okay naman basta may konting improvement.",neutral
2026-05-31,Female,21,Pasigueño,Immunization/Vaccination,4,4,3,4,Satisfied ako sa naging transaction ko. Hindi ako kinailangang magtanong nang paulit-ulit. Magalang at approachable yung staff na nakausap ko. Sana ganito lagi yung serbisyo.,positive
2026-04-05,Male,48,Non-Pasigueño,Wound care/dressing,2,3,2,2,"Regarding sa consultation, walang malinaw na update kung bakit delayed yung transaction. Hindi maganda yung tono ng staff nung nagtanong ako.",negative
2026-06-13,Male,36,City Government Employee,Pharmacy/medicine assistance,1,2,2,2,"Para sa wound care, hindi efficient yung flow kaya nasayang yung oras ko. Hindi maganda yung tono ng staff nung nagtanong ako. I hope maayos ito sa susunod.",negative
2026-06-04,Male,25,Pasigueño,Maternal health consultation,2,3,2,2,Hindi straightforward yung process at maraming unnecessary na tanong. Parang walang clear system sa pagtawag kaya mabagal ang pila. Hindi dapat ganito katagal yung simpleng transaction.,negative
2026-07-16,Female,33,Pasigueño,Referral assistance,4,3,4,4,Simple at understandable yung explanation ng process. Patient mag-explain yung staff kahit may follow-up questions ako. Sana ganito lagi yung serbisyo.,positive
2026-04-07,Female,58,Pasigueño,Family planning consultation,2,2,2,2,Kailangan pang pagbutihin yung client handling. Hindi visible yung process kaya kailangan pang magtanong nang paulit-ulit. Hindi dapat ganito katagal yung simpleng transaction.,negative
2026-06-21,Male,29,Pasigueño,Wound care/dressing,3,3,4,3,"Usual lang yung naging process. Malinaw naman yung basic instructions. Siguro ang pwede lang ayusin, mas okay sana kung mas visible yung instructions. Sana lang mas maging consistent next time.",neutral
2026-03-02,Male,62,Pasigueño,Maternal health consultation,4,3,3,3,"Natapos naman yung transaction ko nang maayos. Friendly naman yung nag-assist, pero kailangan ko pang ulitin yung tanong bago naging clear. Overall okay pa rin naman.",neutral
2026-02-27,Female,34,Pasigueño,Medical consultation,3,2,3,3,"Nakuha ko naman yung kailangan ko. Nakuha ko naman agad yung tamang form, pero medyo matagal lang bago natawag yung number ko. Pwede pang ayusin nang konti yung flow.",neutral
2026-02-10,Female,23,Non-Pasigueño,Medical consultation,3,4,3,4,"Regarding sa health card process, walang unnecessary delay sa naging transaction ko. Alam ko agad kung saan pupunta dahil malinaw yung instructions. Keep up the good service.",positive
2026-05-18,Male,48,Non-Pasigueño,Medical consultation,4,4,4,4,"Para sa vaccine process, madaling sundan yung steps na sinabi sa akin. Mabilis umusad yung pila kahit may ibang clients. Keep up the good service.",positive
2026-06-08,Male,31,Pasigueño,Nutrition counseling,3,4,4,4,Wala naman akong naging problema sa pag-process. Sakto lang yung waiting time at mabilis yung actual transaction. Tinulungan ako agad nung hindi ko alam yung next step.,positive
2026-01-08,Female,67,City Government Employee,Immunization/Vaccination,4,3,3,3,Sakto lang yung naging experience ko today. Medyo masikip lang sa waiting area; polite naman yung staff naman kapag ako na yung inaasikaso. Overall okay pa rin naman.,neutral
2026-04-19,Male,35,City Government Employee,Family planning consultation,4,3,3,4,Hindi ako nahirapan sa buong proseso. Maayos ang pila at mabilis yung galaw sa counter. Hindi minadali yung pag-assist sa akin.,positive
2026-07-05,Male,63,Pasigueño,Vital signs screening,4,4,4,3,"Nung nag-process ako ng wound dressing, respectful yung pakikitungo kahit marami silang inaasikaso. Maaga akong dumating at mabilis din akong natapos.",positive
2026-01-13,Female,47,Non-Pasigueño,Nutrition counseling,3,3,3,3,"Kailangan ko pang magtanong kung saan yung next counter, pero nasagot naman yung tanong ko naman. Pwede pang ayusin nang konti yung flow.",neutral
2026-07-14,Female,39,Pasigueño,Dental consultation,2,1,1,1,Hindi visible yung process kaya kailangan pang magtanong nang paulit-ulit. Ang daming idle time sa pagitan ng bawat step. Sana mabigyan ito ng action.,negative
2026-04-03,Male,31,Pasigueño,Referral assistance,3,4,3,4,Mas maayos yung transaction ko kaysa sa inaasahan ko. Straightforward yung process at walang confusing na instruction. Respectful yung pakikitungo kahit marami silang inaasikaso. Sana ganito lagi yung serbisyo.,positive
2026-03-19,Female,45,Pasigueño,Wound care/dressing,3,4,4,4,Magalang at approachable yung staff na nakausap ko. Simple at understandable yung explanation ng process. Okay na okay para sa akin.,positive
2026-01-11,Male,23,Pasigueño,Maternal health consultation,3,3,4,4,Straightforward yung process at walang confusing na instruction. Maganda yung customer handling nila. Overall smooth at convenient.,positive
2026-03-19,Male,33,City Government Employee,Pharmacy/medicine assistance,4,4,4,4,"Yung medical certificate ko, straightforward yung process at walang confusing na instruction. Mabilis yung checking ng requirements at tuloy-tuloy yung process. Overall smooth at convenient.",positive
2026-08-03,Female,43,Pasigueño,Vital signs screening,4,3,3,4,"Regarding sa dressing service, very accommodating yung nag-assist sa akin. Mabilis umusad yung pila kahit may ibang clients.",positive
2026-02-15,Male,32,Pasigueño,TB/DOTS consultation,4,4,4,4,Pleasant naman yung naging experience ko. Maayos naipaliwanag yung requirements bago ako pumila. Professional kausap yung staff at mahinahon sumagot. Good job sa staff.,positive
2026-01-22,Female,29,Pasigueño,Wound care/dressing,3,4,3,3,"Yung wound care ko, natapos naman nang maayos. Polite naman yung staff; medyo mahina yung boses sa pagtawag ng number lang. Sakto lang, neither good nor bad.",neutral
2026-03-12,Female,43,Non-Pasigueño,Family planning consultation,2,2,3,2,"Hindi malinaw yung instructions kaya ilang beses akong nalito. Mabagal na nga yung pila, ilang beses pa akong pinabalik sa ibang counter. Mas okay sana kung may malinaw na queue at proper guidance.",negative
2026-03-24,Female,59,Non-Pasigueño,Health card/clearance,3,2,3,3,"Average lang yung experience ko. Maayos naman yung pag-check ng documents, pero medyo matagal lang bago natawag yung number ko. Pwede pang ayusin nang konti yung flow.",neutral
2026-01-24,Male,53,Pasigueño,Animal bite treatment,2,3,4,3,"Nung nag-process ako ng pagpapatingin, natapos naman nang maayos. Polite naman yung staff; hindi pare-pareho yung explanation na narinig ko sa dalawang counter lang. Sana lang mas maging consistent next time.",neutral
2026-07-13,Female,31,Pasigueño,Laboratory request,3,2,3,3,"Yung request para sa laboratory ko, natapos naman nang maayos. Friendly naman yung nag-assist; medyo matagal yung checking ng requirements lang. May konting inconvenience pero natapos din naman.",neutral
2026-06-02,Male,37,Pasigueño,Referral assistance,3,2,3,3,"Usual lang yung naging process. Yung wound dressing ko, hindi pare-pareho yung explanation na narinig ko sa dalawang counter, pero natapos din naman at maayos naman yung pag-check ng documents. May room for improvement pero acceptable naman.",neutral
2026-06-30,Female,47,Pasigueño,Laboratory request,2,2,1,2,"Walang malinaw na update kung bakit delayed yung transaction. Mabagal na nga yung pila, ilang beses pa akong pinabalik sa ibang counter. Marami pang kailangang i-improve.",negative
2026-01-20,Female,28,Non-Pasigueño,Maternal health consultation,3,2,3,3,"Malinaw naman yung basic instructions at natapos naman yung kailangan ko. Ang napansin ko lang, kailangan ko pang magtanong kung saan yung next counter. Fair lang yung rating ko.",neutral
2026-07-08,Female,58,Non-Pasigueño,Animal bite treatment,4,4,4,4,Pleasant naman yung naging experience ko. Maayos ang explanation kaya walang naging aberya. May initiative silang i-guide ako kung saan susunod. Okay na okay para sa akin.,positive
2026-04-30,Male,26,Pasigueño,Nutrition counseling,1,2,2,2,"Sa health card process mismo, hindi organized yung queue kaya mas humaba yung paghihintay. Hindi patient mag-explain yung staff. Sana ma-review yung workflow at customer service.",negative
2026-02-28,Male,58,Pasigueño,Medical consultation,2,4,3,3,"Nung nag-process ako ng animal bite service, okay naman. Organized naman yung pila, although kailangan ko pang ulitin yung tanong bago naging clear. Sakto lang, neither good nor bad.",neutral
2026-03-16,Female,33,Pasigueño,Laboratory request,3,4,4,4,Maganda yung naging proseso from start to finish. Konti lang yung waiting time nung pumunta ako. Salamat sa maayos na assistance.,positive
2026-06-12,Male,26,Pasigueño,Nutrition counseling,1,2,1,1,"Sa pharmacy service mismo, hindi helpful yung sagot at itinuro lang ako sa ibang counter. Halos walang movement yung pila for a long time. Sana magkaroon ng clearer instructions at mas maayos na pila.",negative
2026-03-18,Male,39,Pasigueño,Health card/clearance,3,3,2,3,"Maayos naman in general yung service. Para sa vital signs check, may konting kalituhan sa sequence ng pila, pero natapos din naman at straightforward naman yung requirements. Sana lang mas maging consistent next time.",neutral
2026-06-20,Male,38,Pasigueño,Animal bite treatment,1,2,2,2,"Nahirapan ako sa naging proseso. Mabagal na nga yung pila, ilang beses pa akong pinabalik sa ibang counter. Kailangan pang pagbutihin yung client handling. Sana mabigyan ito ng action.",negative
2026-03-10,Male,33,City Government Employee,Vital signs screening,3,3,4,3,"Para sa lab request, natapos naman nang maayos. Polite naman yung staff; pwede pang mas mabilis yung process lang. Overall okay pa rin naman.",neutral
2026-02-19,Male,20,Pasigueño,Animal bite treatment,3,4,2,3,"Nung nag-process ako ng immunization, okay naman. Okay naman yung flow kapag ikaw na yung nasa counter, although may konting kalituhan sa sequence ng pila. Pwede pang ayusin nang konti yung flow.",neutral
2026-02-12,Male,50,Pasigueño,Dental consultation,3,3,4,3,"Sa referral process mismo, okay naman. Hindi naman ako pinabalik para sa kulang na requirement, although hindi agad malinaw kung saan kukunin yung form. Sakto lang, neither good nor bad.",neutral
2026-02-21,Female,26,Pasigueño,Nutrition counseling,3,3,3,3,Wala namang major problem sa transaction. May konting delay sa pila; friendly naman yung nag-assist naman kapag ako na yung inaasikaso. Sana lang mas maging consistent next time.,neutral
2026-07-01,Female,29,Pasigueño,Maternal health consultation,3,4,4,4,Satisfied ako sa naging transaction ko. Straightforward yung process at walang confusing na instruction. Magalang at approachable yung staff na nakausap ko. Sana ma-maintain yung ganitong sistema.,positive
2026-07-17,Male,25,Non-Pasigueño,Immunization/Vaccination,2,3,4,3,"Helpful naman yung nasa counter at natapos naman yung kailangan ko. Ang napansin ko lang, kulang lang ng mas malinaw na signage. Hindi naman siya malaking issue para sa akin.",neutral
2026-03-10,Female,37,Non-Pasigueño,TB/DOTS consultation,3,3,4,4,Maganda yung naging proseso from start to finish. Hindi gaanong mahaba ang hintayan at mabilis natawag ang number ko. Thank you sa maayos na pag-assist.,positive
2026-03-01,Male,27,Non-Pasigueño,Medical consultation,2,2,2,2,Walang malinaw na update kung bakit delayed yung transaction. Paulit-ulit akong naghintay sa magkakaibang counter. Mas okay sana kung may malinaw na queue at proper guidance.,negative
2026-04-18,Female,20,Pasigueño,Maternal health consultation,4,4,4,4,"Sa part ng referral request, konti lang yung waiting time nung pumunta ako. Maayos yung signage at guide kaya madaling sundan. Overall, satisfied ako.",positive
2026-03-26,Male,45,Pasigueño,TB/DOTS consultation,2,2,3,2,Poor yung experience ko this time. Hindi ako nabigyan ng maayos na explanation nung may concern ako. Marami pang kailangang i-improve.,negative
2026-03-18,Male,23,Pasigueño,Medical certificate,2,2,3,2,"Nung nag-process ako ng counseling session, sobrang haba ng process kumpara sa dapat sana. Kailangan pang pagbutihin yung client handling. Kailangan talagang pagbutihin yung service.",negative
2026-07-26,Female,52,Pasigueño,TB/DOTS consultation,3,2,3,3,"Usual lang yung naging process. Para sa screening process, may konting delay sa pila, pero natapos din naman at nakuha ko naman agad yung tamang form. Okay naman basta may konting improvement.",neutral
2026-01-17,Male,40,Non-Pasigueño,Referral assistance,4,4,3,4,"Para sa certificate request, respectful yung pakikitungo kahit marami silang inaasikaso. Maayos ang pila at mabilis yung galaw sa counter.",positive
2026-02-02,Female,46,Pasigueño,Medical consultation,4,4,4,3,"Para sa family planning service, very accommodating yung nag-assist sa akin. Efficient yung pila at hindi magulo yung tawagan.",positive
2026-07-01,Female,29,Pasigueño,Wound care/dressing,2,2,1,2,Nahirapan ako sa naging proseso. Hindi approachable yung nakausap ko sa counter. Sana ma-review yung workflow at customer service.,negative
2026-06-01,Male,41,Pasigueño,Dental consultation,3,4,2,3,"Para sa referral assistance, natapos naman nang maayos. Organized naman yung pila; hindi pare-pareho yung explanation na narinig ko sa dalawang counter lang. Nothing serious, pero noticeable lang.",neutral
2026-07-18,Male,22,Pasigueño,Referral assistance,3,3,2,3,"Pwede pang mas mabilis yung process, pero nasagot naman yung tanong ko naman. Sana mas mabilis nang kaunti sa susunod.",neutral
2026-02-07,Male,29,Pasigueño,Immunization/Vaccination,4,3,2,3,"Hindi naman bad, pero may pwede pang ayusin. Kulang lang ng mas malinaw na signage; malinaw naman yung basic instructions naman kapag ako na yung inaasikaso. Sakto lang, neither good nor bad.",neutral
2026-05-18,Male,59,Pasigueño,Referral assistance,1,1,2,1,Hindi ako satisfied sa naging assistance. Masyadong dismissive yung sagot sa concern ko. Kailangan talagang pagbutihin yung service.,negative
2026-07-18,Male,52,Pasigueño,Vital signs screening,3,2,2,2,Mas matagal at mas magulo kaysa sa inaasahan ko. Hindi patient mag-explain yung staff. Hindi dapat ganito katagal yung simpleng transaction.,negative
2026-07-29,Male,30,Pasigueño,Health card/clearance,4,3,4,4,"Para sa DOTS service, respectful yung pakikitungo kahit marami silang inaasikaso. Hindi pabalik-balik kaya mabilis matapos yung transaction.",positive
2026-02-09,Female,31,Pasigueño,Health card/clearance,3,3,4,3,"Regarding sa dressing service, organized naman yung pila, kaso hindi agad malinaw kung saan kukunin yung form. Nothing serious, pero noticeable lang.",neutral
2026-02-14,Male,31,Pasigueño,Vital signs screening,3,4,4,4,Happy naman ako sa naging assistance. Hindi ako pinaghintay nang matagal bago maasikaso. Wala akong reklamo sa naging service.,positive
2026-08-04,Male,66,Non-Pasigueño,Referral assistance,2,3,4,3,"Sa nutrition counseling mismo, okay naman. Okay naman yung customer handling, although may ilang minuto na walang gumagalaw sa pila. Sana lang mas maging consistent next time.",neutral
2026-07-15,Female,34,City Government Employee,Family planning consultation,1,1,1,1,Medyo frustrating yung naging proseso. May kulang na requirement na saka lang sinabi nung nasa counter na ako. Mas okay sana kung may malinaw na queue at proper guidance.,negative
2026-06-11,Male,24,Non-Pasigueño,Family planning consultation,3,4,3,3,"Nung nag-process ako ng screening process, natapos naman nang maayos. Maayos kausap yung staff; medyo mahina yung boses sa pagtawag ng number lang. Manageable naman kaya okay lang.",neutral
2026-06-11,Female,34,Pasigueño,Medical consultation,2,2,3,2,Disappointed ako sa naging transaction. Matagal bago may sumagot sa concern ko sa counter. Hindi patient mag-explain yung staff. Sana magkaroon ng clearer instructions at mas maayos na pila.,negative
2026-08-09,Male,48,Non-Pasigueño,Vital signs screening,2,4,3,3,"Hindi naman bad, pero may pwede pang ayusin. Nung nag-process ako ng consultation, medyo matagal yung checking ng requirements, pero natapos din naman at organized naman yung pila. Sana lang mas maging consistent next time.",neutral
2026-04-11,Female,56,Pasigueño,Dental consultation,4,3,3,3,"Natapos naman yung transaction ko nang maayos. Maayos naman yung actual service, pero may konting delay pero manageable naman. Sana lang mas maging consistent next time.",neutral
2026-02-05,Female,52,City Government Employee,Medical certificate,2,3,3,3,"Sakto lang yung naging experience ko today. Kumpleto naman yung information na binigay, pero hindi pare-pareho yung explanation na narinig ko sa dalawang counter. May room for improvement pero acceptable naman.",neutral
2026-02-21,Female,29,Pasigueño,Pharmacy/medicine assistance,4,4,4,4,"Regarding sa pagkuha ng certificate, mabilis yung checking ng requirements at tuloy-tuloy yung process. Maayos naipaliwanag yung requirements bago ako pumila. Salamat sa maayos na assistance.",positive
2026-02-05,Female,23,Pasigueño,Immunization/Vaccination,3,4,3,4,"Yung pharmacy service ko, responsive yung staff kapag may clarification. Maayos yung queue kaya hindi nakakainip yung paghihintay.",positive
2026-01-15,Male,25,City Government Employee,Family planning consultation,3,2,3,3,"Organized naman yung pila at natapos naman yung kailangan ko. Ang napansin ko lang, kulang lang ng mas malinaw na signage. Manageable naman kaya okay lang.",neutral
2026-02-03,Female,50,Non-Pasigueño,Wound care/dressing,1,2,2,2,Hindi naging smooth yung pag-asikaso ko. Sobrang tagal bago ako natawag kahit matagal na akong naghihintay. Hindi malinaw yung instructions kaya ilang beses akong nalito.,negative
2026-05-11,Female,34,Pasigueño,Dental consultation,2,2,1,2,Hindi professional yung tono ng pakikipag-usap sa akin. Hindi malinaw yung instructions na binigay sa akin sa simula. Please improve the process and client handling.,negative
2026-07-17,Female,48,Pasigueño,Dental consultation,3,3,2,3,"Okay naman overall, may ilang minor issue lang. Sa screening process mismo, pwede pang mas mabilis yung process, pero natapos din naman at kumpleto naman yung information na binigay. May room for improvement pero acceptable naman.",neutral
2026-03-22,Male,28,Pasigueño,Laboratory request,4,4,4,4,Mas maayos yung transaction ko kaysa sa inaasahan ko. Nasunod naman agad yung sequence ng pila. Salamat sa maayos na assistance.,positive
2026-03-31,Female,61,Non-Pasigueño,Wound care/dressing,4,4,4,3,"Nung nag-process ako ng medical certificate, okay yung attitude ng staff, polite at helpful. Hindi pabalik-balik kaya mabilis matapos yung transaction.",positive
2026-04-01,Female,33,Pasigueño,Dental consultation,3,3,3,3,"Regarding sa pagpapa-dental, natapos naman nang maayos. Helpful naman yung nasa counter; medyo masikip lang sa waiting area lang. Hindi naman siya malaking issue para sa akin.",neutral
2026-03-21,Female,42,Pasigueño,Pharmacy/medicine assistance,4,3,3,4,Satisfied ako sa naging transaction ko. Konti lang yung waiting time nung pumunta ako. Patient mag-explain yung staff kahit may follow-up questions ako.,positive
2026-01-14,Male,35,City Government Employee,Wound care/dressing,1,1,1,1,"Yung medical certificate ko, confusing yung sequence ng steps. Hindi consistent yung assistance at iba-iba yung sinasabi ng staff.",negative
2026-01-08,Female,55,Non-Pasigueño,Medical consultation,4,4,4,3,"Regarding sa consultation, kompleto yung information na binigay sa counter. Maaga akong dumating at mabilis din akong natapos. Salamat sa maayos na assistance.",positive
2026-03-19,Male,26,Pasigueño,Maternal health consultation,4,3,3,3,"Sa part ng vaccination, hindi naman ako pinabalik para sa kulang na requirement, kaso may konting kalituhan sa sequence ng pila. Nothing serious, pero noticeable lang.",neutral
2026-05-02,Female,22,Pasigueño,Family planning consultation,3,3,4,3,"Hindi naman bad, pero may pwede pang ayusin. Friendly naman yung nag-assist. Siguro ang pwede lang ayusin, kailangan ko pang ulitin yung tanong bago naging clear. Fair lang yung rating ko.",neutral
2026-01-25,Female,53,Pasigueño,Medical consultation,2,3,2,2,Hindi naging convenient yung transaction ko. Ang tagal ng checking kahit kumpleto naman yung dala ko. Dapat mas malinaw yung listahan ng kailangan bago pumila.,negative
2026-04-13,Female,50,Non-Pasigueño,Family planning consultation,1,2,1,1,Medyo frustrating yung naging proseso. Kulangan yung information tungkol sa requirements. Sana mabigyan ito ng action.,negative
2026-05-20,Female,32,Pasigueño,Family planning consultation,1,2,2,2,Sana ma-review yung process kasi nahirapan talaga ako. Walang malinaw na update kung bakit delayed yung transaction. Sana ma-review yung workflow at customer service.,negative
2026-05-17,Female,66,Pasigueño,Family planning consultation,2,2,3,2,Kulang sa organization yung naging process. Kulangan yung information tungkol sa requirements. Sana ma-review yung workflow at customer service.,negative
2026-05-10,Female,64,Pasigueño,Laboratory request,3,3,2,3,"Para sa laboratory request, natapos naman nang maayos. Malinaw naman yung basic instructions; pwede pang mas mabilis yung process lang. Manageable naman kaya okay lang.",neutral
2026-04-04,Female,60,Pasigueño,Family planning consultation,2,3,3,3,"Medyo mahaba yung pila pero gumagalaw naman, pero nasagot naman yung tanong ko naman. Pwede pang ayusin nang konti yung flow.",neutral
2026-04-06,Male,33,City Government Employee,Nutrition counseling,3,3,2,3,"Sa part ng consultation process, okay naman. Malinaw naman yung basic instructions, although hindi agad malinaw kung saan kukunin yung form. Fair lang yung rating ko.",neutral
2026-07-26,Male,65,Pasigueño,Wound care/dressing,2,2,2,2,Sana ma-review yung process kasi nahirapan talaga ako. Dapat mas malinaw yung listahan ng kailangan bago pumila. Needs improvement talaga.,negative
2026-03-10,Male,31,Non-Pasigueño,Medical consultation,1,1,1,1,"Regarding sa consultation process, kailangan pang pagbutihin yung client handling. Sobrang tagal bago ako natawag kahit matagal na akong naghihintay. Marami pang kailangang i-improve.",negative
